FTA 1,FTA 2,Matched words,Total words FTA 1,Total words FTA 2,% of FTA 1,% of FTA 2
ID-Aus (2019).txt,ID-Canada (2025).txt,18962,52284,111344,36.27,17.03
ID-Aus (2019).txt,ID-Chile (2017).txt,6357,52284,19938,12.16,31.88
ID-Aus (2019).txt,ID-EFTA (2018).txt,2907,52284,18008,5.56,16.14
ID-Aus (2019).txt,ID-Japan (2007).txt,5545,52284,27954,10.61,19.84
ID-Aus (2019).txt,ID-ROK (2020).txt,11371,52284,32733,21.75,34.74
ID-Aus (2019).txt,ID-UAE (2022).txt,10590,52284,43957,20.25,24.09
ID-Canada (2025).txt,ID-Chile (2017).txt,4875,111344,19938,4.38,24.45
ID-Canada (2025).txt,ID-EFTA (2018).txt,3248,111344,18008,2.92,18.04
ID-Canada (2025).txt,ID-Japan (2007).txt,5514,111344,27954,4.95,19.73
ID-Canada (2025).txt,ID-ROK (2020).txt,9231,111344,32733,8.29,28.20
ID-Canada (2025).txt,ID-UAE (2022).txt,14907,111344,43957,13.39,33.91
ID-Chile (2017).txt,ID-EFTA (2018).txt,1428,19938,18008,7.16,7.93
ID-Chile (2017).txt,ID-Japan (2007).txt,3937,19938,27954,19.75,14.08
ID-Chile (2017).txt,ID-ROK (2020).txt,5354,19938,32733,26.85,16.36
ID-Chile (2017).txt,ID-UAE (2022).txt,6272,19938,43957,31.46,14.27
ID-EFTA (2018).txt,ID-Japan (2007).txt,3140,18008,27954,17.44,11.23
ID-EFTA (2018).txt,ID-ROK (2020).txt,4035,18008,32733,22.41,12.33
ID-EFTA (2018).txt,ID-UAE (2022).txt,4079,18008,43957,22.65,9.28
ID-Japan (2007).txt,ID-ROK (2020).txt,6315,27954,32733,22.59,19.29
ID-Japan (2007).txt,ID-UAE (2022).txt,5256,27954,43957,18.80,11.96
ID-ROK (2020).txt,ID-UAE (2022).txt,9740,32733,43957,29.76,22.16
