FTA 1,FTA 2,Matched words,Total words FTA 1,Total words FTA 2,% of FTA 1,% of FTA 2
517_Japan Malaysia_2005Cut.txt,599_Malaysia Pakistan_2007Cut.txt,8995,28162,21646,31.94,41.56
517_Japan Malaysia_2005Cut.txt,795_Australia Malaysia_2012 cut.txt,5991,28162,41855,21.27,14.31
517_Japan Malaysia_2005Cut.txt,800_Chile Malaysia_2010 cut.txt,3642,28162,16254,12.93,22.41
517_Japan Malaysia_2005Cut.txt,MY-EFTA (2025).txt,3787,28162,31307,13.45,12.10
517_Japan Malaysia_2005Cut.txt,MY-India (2011).txt,6620,28162,32646,23.51,20.28
517_Japan Malaysia_2005Cut.txt,MY-NZ (2009).txt,5504,28162,31398,19.54,17.53
517_Japan Malaysia_2005Cut.txt,MY-Turkey (2022).txt,6396,28162,39694,22.71,16.11
517_Japan Malaysia_2005Cut.txt,MY-UAE (2025).txt,5022,28162,39660,17.83,12.66
599_Malaysia Pakistan_2007Cut.txt,795_Australia Malaysia_2012 cut.txt,6235,21646,41855,28.80,14.90
599_Malaysia Pakistan_2007Cut.txt,800_Chile Malaysia_2010 cut.txt,4332,21646,16254,20.01,26.65
599_Malaysia Pakistan_2007Cut.txt,MY-EFTA (2025).txt,4125,21646,31307,19.06,13.18
599_Malaysia Pakistan_2007Cut.txt,MY-India (2011).txt,8470,21646,32646,39.13,25.94
599_Malaysia Pakistan_2007Cut.txt,MY-NZ (2009).txt,6676,21646,31398,30.84,21.26
599_Malaysia Pakistan_2007Cut.txt,MY-Turkey (2022).txt,7057,21646,39694,32.60,17.78
599_Malaysia Pakistan_2007Cut.txt,MY-UAE (2025).txt,4875,21646,39660,22.52,12.29
795_Australia Malaysia_2012 cut.txt,800_Chile Malaysia_2010 cut.txt,5184,41855,16254,12.39,31.89
795_Australia Malaysia_2012 cut.txt,MY-EFTA (2025).txt,5278,41855,31307,12.61,16.86
795_Australia Malaysia_2012 cut.txt,MY-India (2011).txt,9956,41855,32646,23.79,30.50
795_Australia Malaysia_2012 cut.txt,MY-NZ (2009).txt,12273,41855,31398,29.32,39.09
795_Australia Malaysia_2012 cut.txt,MY-Turkey (2022).txt,9893,41855,39694,23.64,24.92
795_Australia Malaysia_2012 cut.txt,MY-UAE (2025).txt,8510,41855,39660,20.33,21.46
800_Chile Malaysia_2010 cut.txt,MY-EFTA (2025).txt,2197,16254,31307,13.52,7.02
800_Chile Malaysia_2010 cut.txt,MY-India (2011).txt,5980,16254,32646,36.79,18.32
800_Chile Malaysia_2010 cut.txt,MY-NZ (2009).txt,5787,16254,31398,35.60,18.43
800_Chile Malaysia_2010 cut.txt,MY-Turkey (2022).txt,7409,16254,39694,45.58,18.67
800_Chile Malaysia_2010 cut.txt,MY-UAE (2025).txt,4372,16254,39660,26.90,11.02
MY-EFTA (2025).txt,MY-India (2011).txt,5482,31307,32646,17.51,16.79
MY-EFTA (2025).txt,MY-NZ (2009).txt,4624,31307,31398,14.77,14.73
MY-EFTA (2025).txt,MY-Turkey (2022).txt,6347,31307,39694,20.27,15.99
MY-EFTA (2025).txt,MY-UAE (2025).txt,5747,31307,39660,18.36,14.49
MY-India (2011).txt,MY-NZ (2009).txt,12548,32646,31398,38.44,39.96
MY-India (2011).txt,MY-Turkey (2022).txt,11039,32646,39694,33.81,27.81
MY-India (2011).txt,MY-UAE (2025).txt,7308,32646,39660,22.39,18.43
MY-NZ (2009).txt,MY-Turkey (2022).txt,11582,31398,39694,36.89,29.18
MY-NZ (2009).txt,MY-UAE (2025).txt,6998,31398,39660,22.29,17.64
MY-Turkey (2022).txt,MY-UAE (2025).txt,9245,39694,39660,23.29,23.31
