AMS FTA,ASEAN baseline,Matched words,Total words AMS,Total words ASEAN,% of AMS,% of ASEAN
396_EFTA Singapore_2002Cut.txt,ASEAN FTA.txt,2994,12111,33228,24.72,9.01
475_Gulf Cooperation Council (GCC) Singapore_2008Cut.txt,ASEAN FTA.txt,4019,22294,33228,18.03,12.10
493_India Singapore_2005Cut.txt,ASEAN FTA.txt,5758,37189,33228,15.48,17.33
520_Japan Singapore_2002Cut.txt,ASEAN FTA.txt,4929,27844,33228,17.70,14.83
534_Jordan Singapore_2004Cut.txt,ASEAN FTA.txt,2154,11769,33228,18.30,6.48
550_Korea Singapore_2005Cut.txt,ASEAN FTA.txt,4606,39019,33228,11.80,13.86
631_New Zealand Singapore_2000Cut.txt,ASEAN FTA.txt,2255,16293,33228,13.84,6.79
641_Panama Singapore_2006Cut.txt,ASEAN FTA.txt,4419,36910,33228,11.97,13.30
644_Peru Singapore_2008Cut.txt,ASEAN FTA.txt,4664,37711,33228,12.37,14.04
658_Singapore US_2003Cut.txt,ASEAN FTA.txt,4345,59468,33228,7.31,13.08
814_Costa Rica Singapore_2010 cut.txt,ASEAN FTA.txt,4691,38081,33228,12.32,14.12
82_Australia Singapore_2003Cut.txt,ASEAN FTA.txt,5252,30823,33228,17.04,15.81
874_EC Singapore_ (cut) + Investment (2018).txt,ASEAN FTA.txt,4764,88985,33228,5.35,14.34
SG-Armenia (2019).txt,ASEAN FTA.txt,3946,18209,33228,21.67,11.88
SG-China (2023).txt,ASEAN FTA.txt,6842,40867,33228,16.74,20.59
SG-Costa Rica (2010).txt,ASEAN FTA.txt,4697,36019,33228,13.04,14.14
SG-Kazakh (2023).txt,ASEAN FTA.txt,3844,17605,33228,21.83,11.57
SG-Mercosur (2023).txt,ASEAN FTA.txt,4522,63808,33228,7.09,13.61
SG-Pacific Alliance (2022).txt,ASEAN FTA.txt,5114,75701,33228,6.76,15.39
SG-TW (2013).txt,ASEAN FTA.txt,4531,27717,33228,16.35,13.64
